MES ;ANO;DESTINO;DESTINAÄ«O;RES÷DUO;CLASSE;CLASSE_12;MASSA(t);VIAGENS;Volume (m3);ORIGEM;NOTAS;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;136,76;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;RESIDUOS PQ MUNICIPAL;RPU;RSU;268,15;;;SLU;;
Mar;2010;CTR MACAÈBAS;ATERRAGEM;VARRIÄ«O;RPU;RSU;4091,72;;;SLU;;
Mar;2010;ASMARE;COLETA SELETIVA PMPV;MISTO;RDO;RSU;8,51;;;SLU LEV;;
Mar;2010;ASMARE;COLETA SELETIVA PMPV;MISTO;RDO;RSU;5,53;;;SLU Porta a Porta;;
Mar;2010;ASMARE;COLETA SELETIVA PMPV;MISTO;RDO;RSU;77,19;;;Contratada Porta a Porta;;
Mar;2010;Coopersoli Barreiro;COOPERATIVAS PMPV;MISTO;RDO;RSU;35,577;;;Doaá‰es;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coopersoli Barreiro;COLETA SELETIVA PMPV;MISTO;RDO;RSU;8,9;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coopersoli Barreiro;COLETA SELETIVA PMPV;MISTO;RDO;RSU;8;;;SLU Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coopersoli Barreiro;COLETA SELETIVA PMPV;MISTO;RDO;RSU;45,416;;;Contratada Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coopersol Venda Nova;COLETA SELETIVA PMPV;MISTO;RDO;RSU;30,1;;;Contratada Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;COMARP;COLETA SELETIVA PMPV;METAL;RDO;RSU;1,51;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;COMARP;COLETA SELETIVA PMPV;MISTO;RDO;RSU;9,38;;;SLU Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;COMARP;COLETA SELETIVA PMPV;MISTO;RDO;RSU;33,48;;;Contratada Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;COMARP;COLETA SELETIVA PMPV;PAPEL;RDO;RSU;15,13;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;COMARP;COLETA SELETIVA PMPV;PLµSTICO;RDO;RSU;13,61;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;ASSOCIRECICLE;COLETA SELETIVA PMPV;METAL;RDO;RSU;2,2;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;ASSOCIRECICLE;COLETA SELETIVA PMPV;PAPEL;RDO;RSU;13,04;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;ASSOCIRECICLE;COLETA SELETIVA PMPV;PLµSTICO;RDO;RSU;6,7;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coopemar Oeste;COLETA SELETIVA PMPV;MISTO;RDO;RSU;10,81;;;SLU Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coopemar Oeste;COLETA SELETIVA PMPV;MISTO;RDO;RSU;40,3;;;Contratada Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Coleta seletiva de vidros/LEV;COLETA SELETIVA PMPV;VIDRO;RDO;RSU;46;;;SLU LEV;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;CTRS BR040;COLETA SELETIVA PMPV;MISTO;RDO;RSU;10,08;;;SLU Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;CTRS BR040;COLETA SELETIVA PMPV;MISTO;RDO;RSU;23,15;;;Contratada Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
Mar;2010;Cimentos Liz;COLETA SELETIVA PMPV;MISTO;RDO;RSU;17,08;;;Contratada Porta a Porta;Devido Ö problema na balanáa rodovi†ria do galp∆o da rua Lacyr M†ffia, 115, bairro Jatob† IV, grande quantidade do material n∆o foi pesada, principalmente aquela destinada aos galp‰es da Coopemar Oeste e Coopersoli Barreiro. Sendo prov†vel ser a maior parte das prov†veis 154 t que n∆o foram pesadas (estimativa considerando a mÇdia coletada nos meses de janeiro e fevereiro de 2010). Fonte: DP-PRE;
