estado;cidade;local;endereço;bairro;cep;tipo de material;horario_seg_sex;horario_sab_dom;tipo;;;;
SP;São Vicente;Sodimac;Pres. Wilson, 210;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Suzana Sá Vicente;Pça. Visc. Do Rio Branco, 222;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Supermercado Pompeia;Gen.Roda Freitas, 106;parque das bandeiras;00000-000;Coleta seletiva;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Sv Comercio De Baterias;Pref. José Monteiro, 131;jd. independência;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Tintas Mc;Frei Gaspar, 239;centro;00000-000;Coleta seletiva;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Tintas São Miguel;Frei Gaspar, 988;centro;00000-000;Coleta seletiva;Não disponível;Não disponível;Empresa;;;;
SP;São Paulo;Ecoponto Viaduto Engenheiro Alberto Badra;Avenida Aricanduva, nº 200;Aricanduva;03501-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Astarte;Rua Astarte, nº 500;Vila Carrão;03446-090; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Nova York;Rua Amélia Vanso Magnoli, nº 480;Conjunto Habitacional Barreira Grande;03907-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Aricanduva I;Rua Professor Alzira de Oliveira Gilioli, nº 400;Jardim Nice;03905-090; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Jardim Maria do Carmo;Rua Caminho do Engenho, nº 800;Ferreira;05524-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Jardim Jaqueline;Parque Raposo Tavares - Rua Walter Brito Belletti, s/nº;Vila Albano;05543-040; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Politécnica;Rua Paulino Baptista Conti, nº 2;Jardim Sarah;05382-140; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Giovani Gronchi;Avenida Giovani Gronchi, nº 3413;Morumbi;05651-002; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Santo Dias;Travessa Rosifloras, nº 301;Conjunto Habitacional Instituto Adventista;05868-600; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Parque Fernanda;Avenida Doutor Salvador Rocco, nº 261, defronte Rua Antônio Cânon;Parque Fernanda;05888-050; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Olinda;Rua Nelson Brissac, nº 1235, esquina com Avenida Padre Adolfo Kolping;Parque Regina;05773-110; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Vila das Belezas;Rua Campo Novo do Sul, nº 500;Vila Andrade;05729-100; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Paraisópolis;Rua Irapará, nº 73;Paraíso do Morumbi;05706-300; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Cidade Saudável;Rua Ptolomeu, nº 869;Vila Socorro;04762-040; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Parque Peruche;Avenida Engenheiro Caetano Álvares, nº 3142;Parque Peruche;02535-008; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Vila Nova Cachoeirinha;Rua Felix Alves Pereira, nº 113;Jardim Centenário;02882-030; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Vila Santa Maria;Rua André Bolsena com a Travessa Luiz Sá;Vila Santista;02560-170; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Jardim Antártica;Rua Dom Aquino, nº 103;Jardim Antártica;02652-170; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto São Leandro;Rua São Leandro, nº 13;Vila Palmeiras;02725-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Ecoponto Alvarenga;Estrada do Alvarenga, nº 2475;Balneário Mar Paulista;04467-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Cupecê;Rua Anália Maria de Jesus, nº 130 – Trav. Av. Cupecê;Jardim Itacolomi;04385-110; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Nascer do Sol;Rua Nascer do Sol, nº 356;Conjunto Habitacional Santa Etelvina II;08485-020; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Setor G;Rua Alfonso Asturaro, altura do nº 600;Conjunto Habitacional Barro Branco II;08473-591; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Inácio Monteiro;Rua Regresso Feliz, nº 1190;Conjunto Habitacional Inácio Monteiro;08472-210; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Jardim São Nicolau;Rua Agreste de Itabaiana, nº 590, esquina com Rua Eduardo Kyioshi Shimuta;Vila União (Zona Leste);03683-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Boturussu;Rua Nélio Batista Guimarães, nº 183;Parque Boturussu;03802-005; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Bandeirantes;Rua Itaiquara, nº 237;Itaberaba;02803-050; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Freguesia do Ó;Rua Sousa Filho, nº 690;Vila União (Zona Norte);02911-135; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila Rica;Rua Jorge Mamede da Silva, nº 200;Vila Souza;02860-050; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Jardim São Paulo;Rua Utaro Kanai, nº 374;Conjunto Habitacional Juscelino Kubitschek;08465-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Guaiaponto;Rua da Passagem Funda, nº 250;Vila Santa Cruz (Zona Leste);08411-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Lajeado;Rua Isabela, nº405;Jardim Lajeado;08411-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Padre Nildo do Amaral;Rua Padre Nildo do Amaral Júnior, nº 900;Vila Nova Curuçá;08032-650; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Tereza Cristina;Rua Tereza Cristina, nº 10, esquina com Avenida do Estado;Vila Monumento;01553-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Santa Cruz;Rua Santa Cruz, nº 1452 (Baixo do Viaduto Santa Cruz);Vila Mariana;04122-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila das Mercês;Rua Italva, nº 86;Saúde;04294-030; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Comandante Taylor;Rua Comandante Taylor, nº 690 (Baixo do Viaduto Comandante Taylor);Ipiranga;04218-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Moreira;Rua João Batista de Godói, nº 1164;Jardim das Oliveiras;08111-430; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Mãe Preta;Avenida Dama Entre Verdes, nº 21;Vila Curuçá;08030-610; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Pesqueiro;Rua Caiuás, nº 18, esquina com Avenida Itamerendiba;Jardim Ida Guedes;08120-580; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Flamingo;Rua Alexandre Dias Nogueira, nº353;Vila Nova Curuçá;08031-240; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Itaim Paulista;Rua Barão de Almeida Galeão, altura do nº61;Itaim Paulista;08575-210; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Jardim Indaiá;Rua Rossini Pinto, altura do nº 214;Jardim Indaiá;08143-030; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Parque Guarani;Rua Manuel Alves da Rocha, nº 584;Parque Guarani;08235-620; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Oswaldo Valle Cordeiro;Av. Osvaldo Valle Cordeiro, nº 405;Jardim Brasília (Zona Leste);03584-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Cidade Lider;Rua Charles Manguin, nº 20;Jardim Marília;03579-150; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Parque do Carmo;Rua Machado Nunes, nº 95;Jardim Nossa Senhora do Carmo;08275-310; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Corinthians;Rua Ana Perena, nº 155;Conjunto Residencial José Bonifácio;08253-230; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Caldeirão;Rua Major Vitorino de Souza Rocha, altura do nº148;Vila Santa Teresinha;08247-080; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Imigrantes;Rua Opixe;Vila Guarani (Zona Sul);04312-080; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Jabaquara;Rua Jupatis, nº140;Vila Mira;04377-200; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Anselmo Machado;Avenida Paulo Lincoln do Valle Pontin, altura do nº 550;Jaçanã;02273-011; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Silvio Bittencourt;Rua Maria Amália Lopes Azevedo, nº 4008;Vila Albertina;02350-003; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Viaduto Antártica;Rua Robert Bosch (Baixos Viaduto Antártica);Parque Industrial Tomas Edson;01141-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila Jaguara;Rua Agrestina, nº 189;Vila Jaguara;05117-100; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Piraporinha;Rua João de Abreu, nº326;Jardim Tupã;04904-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;São Luis;Rua Pedro Armani, nº 252;Jardim Letícia;05820-220; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Bresser;Pça. Giuseppe Cesari, nº 54 (Baixo do Viaduto Bresser);Brás;03053-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Tatuapé;Avenida Salim Farah Maluf, nº 179, Praça Tito Lívio Ferreira;Tatuapé;03076-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Brás;Avenida Presidente Wilson, nº 1 (Baixo Viaduto Professor Alberto Mesquita de Carvalho);Mooca;03107-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Mooca;Avenida Pires do Rio, nº 600 (Baixo Viaduto Bresser);Belenzinho;03163-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Pari;Avenida Carlos de Campos, nº 996 (defronte), esquina com Avenida Presidente Castelo Branco;Pari;03028-001; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Belém;Rua Belarmino Matos, nº 26 (baixos do Viaduto Guadalajara);Belenzinho;03062-030; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila Luisa;Praça Dante Maron, nº 92 (Baixos Viaduto Engenheiro Alberto Badra);Guaiúna;03631-230; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Água Rasa;Av. Salim Farah Maluf, nº 1500;Quarta Parada;03304-090; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Mendes Caldeira;Rua Monsenhor Andrade, nº 865;Brás;03008-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Mooca ll;Rua Pantojo, nº 1.147;Vila Regente Feijó;03343-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Condessa;Avenida Condessa Elizabeth de Robiano, altura do nº 930;Parque São Jorge;00000-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Penha I;Rua Doutor. Heládio, nº 104;Vila Esperança;03650-020; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Tiquatira;Rua Amorim Diniz, nº 415;Jardim Jaú (Zona Leste);03730-040; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Gamelinha;Rua Morfeu, nº 25, esquina com Avenida Edgar dos Santos;Jardim Santo Antônio;03554-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila Matilde;Rua Mateus de Siqueira, nº 375, com Praça Leonildes Ramos Saigo;Jardim Triana;03554-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Cangaíba;Rua Luciano Nogueira, altura do nº 241;Cangaíba;03721-080; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Franquinho;Rua Praia de Mucuripe, nº 685;Jardim Artur Alvim;03687-100; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Dalila;Rua Inacio da Costa nº 740, esquina com a Avenida Aricanduva;Vila Dalila;03520-030; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;COHAB Artur Alvim;Avenida. Padre Estanislau de Campos nº 56;Conjunto Habitacional Padre Manoel da Nóbrega;03590-060; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila Talarico;Avenida Bernardino Brito Fonseca de Carvalho, nº 1.050;Vila Talarico;03535-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Recanto dos Humildes;Rua Sales Gomes, nº 415;Vila Perus;05211-200; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Jardim Santa Fé;Rua Salvador Albano nº156;Jardim Santa Fé (Zona Oeste);05271-090; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Pinheiros;Praça do Cancioneiro, nº 15 (Baixos da Ponte Engenheiro Ary Torres);Cidade Monções;04571-200; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vila Madalena;Rua Girassol, nº 15, esquina Rua Luís Murat;Vila Madalena;05433-000; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Alto de Pinheiros;Praça Arcipreste Anselmo de Oliveira;Alto de Pinheiros;05463-080; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Cônego José Salomon;Avenida. Cônego José Salomon, nº 861;Vila Portugal;02918-170; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Vigário Godói;Rua Vigário Godói, nº 480;Vila Zat;02976-080; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Voith;Avenida Atílio Brugnoli, nº 489;Parque Nações Unidas;02996-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
SP;São Paulo;Alexios Jafet;Rua Alexios Jafet, nº 233;Jardim Ipanema (Zona Oeste);05187-010; Coleta seletiva, Obras e materiais, Líquidos, Eletrônicos,Borracha;6:00 - 22:00;6:00 - 18:00;Ecoponto;;6:00 - 22:00;;
