estado,cidade,local,endereço,bairro,cep,tipo_de_material,horario_seg_sex,horario_sab_dom,tipo
SP,São Paulo,ESTACAO ADOLFO PINHEIRO,"SP/SÃO PAULO - VILA SUZANA - LOJA PÃO DE AÇÚCAR - R. MARECHAL HASTINFILO DE MOURA, 30,",Santo Amaro,,Cápsulas de café,,,
SP,São Paulo,ESTACAO BORBA GATO,"AVENIDA ADOLFO PINHEIRO, 301",Santo Amaro,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO BUTANTA,"AVENIDA ADOLFO PINHEIROS, 2464",Butantã,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO CAMPO BELO,"AVENIDA VITAL BRASIL, 333",Santo Amaro,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO EUCALIPTOS,AVENIDA SANTO AMARO S/N,Moema,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO FARIA LIMA,"AVENIDA IBIRAPUERA, 3144",Itaim Bibi,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO GIOVANI GRONCHI,"AVENIDA BRIGADEIRO FARIA LIMA, 949",Santo Amaro,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO HOSPITAL SÃO PAULO,"AVENIDA JOÃO DIAS, 5747/ 5745",Vila Clementino,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO LARGO TREZE,"RUA PEDRO DE TOLEDO, 910",Vila Mascote,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO LUZ,AVENIDA PADRE JOSÉ MARIA,Santa Ifigênia,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO MOEMA,"AVENIDA CASPER LIBERO, 598",Moema,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO PAULISTA,AVENIDA IBIRAPUERA,Cerqueira César,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO PINHEIROS,RUA DA CONSOLAÇÃO 2367,Vila Mariana,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO REPUBLICA,"RUA CAPRI, 145",Santa Cecília,,Cápsulas de café,,,Três Corações
SP,São Paulo,ESTACAO SANTA CRUZ,"RUA DO AROUCHE, 24",Vila Clementino,,Cápsulas de café,,,Três Corações
SP,São Paulo,PLAZA SUL SHOPPING,"RUA PEDRO DE TOLEDO, 60",Vila Cruzeiro,,Cápsulas de café,,,Três Corações
SP,São Paulo,POSTO ALICEMAR,"PRAÇA LEONOR KAUPA, 100",São Miguel Paulista,,Cápsulas de café,,,Três Corações
SP,São Paulo,POSTO BARONESA,AVENIDA MARECHAL TITO 6034,Higienópolis,,Cápsulas de café,,,Três Corações
SP,São Paulo,POSTO DUQUE DUMONT VILLARES,"AVENIDA ANGÉLICA, 806",Santana,,Cápsulas de café,,,Três Corações
SP,São Paulo,SHOPPING SANTANA PARQUE,"AVENIDA LUIZ DUMONT VILLARES, 1422",Lauzane Paulista,,Cápsulas de café,,,Três Corações
SP,São Paulo,SHOPPING CENTER TABOAO,"R. CONSELHEIRO MOREIRA DE BARROS, 2780",Capão Redondo,,Cápsulas de café,,,Três Corações
SP,São Paulo,SHOPPING METRO SANTA CRUZ,"ROD. RÉGIS BITTENCOURT, 2643",Vila Mariana,,Cápsulas de café,,,Três Corações
SP,São Paulo,SHOPPING METROPOLE,"R. DOMINGOS DE MORAIS, 2564",Centro,,Cápsulas de café,,,Três Corações
SP,São Paulo,SHOPPING TAMBORE,"PRAÇA SAMUEL SABATINI, 200",Tamboré,,Cápsulas de café,,,Três Corações
SP,São Paulo,VILA PLANA,"AV. PIRACEMA , 669. TAMBORÉ",Jardim São Luís,,Cápsulas de café,,,Três Corações
SP,São Paulo,COOPERATIVA COOPERATIVA DE TRABALHO EM RECICLAGEM UNIDOS VENCEREMOS (UNIVENCE),"AVENIDA DAS BELEZAS, 880",Vila Prudente,,Cápsulas de café,,,Três Corações
SP,Suzano,COOPERATIVA COOPERZAGATI,"RUA BIOTONICO, 1900",Vila Prudente,,Cápsulas de café,,,Três Corações
SP,Taboão da Serra,LOJA MAMBO,"RUA PORFÍRIO HERDEIRO, 440",Jardim São Luís,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"AV. VEREADOR JOSÉ DINIZ, 2339",Campo Belo,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"RUA CANÁRIO, 408, MOEMA",Moema,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"AV. GIOVANNI GRONCHI, 2799",Morumbi,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"RUA TURIASSÚ, 1205",Perdizes,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"AV. ANGÉLICA, 526",Higienópolis,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"RUA SERRA DE BOTUCATU, 1703",Tatuapé,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"RUA ALIANÇA LIBERAL, 322",Vila Nova Conceição,,Cápsulas de café,,,Três Corações
SP,São Paulo,LOJA MAMBO,"RUA DEPUTADO LACERDA FRANCO, 553",Pinheiros,,Cápsulas de café,,,Três Corações
SP,São Paulo,,"RUA AURÉLIA, 1973",Vila Romana,,Cápsulas de café,,,Três Corações
SP,São Paulo,,"Rua James Holland, 668",Guaianases,01138-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Raimundo Pereira de Magalhães - de 11000, 11001",Vila Paranagua,05145-200,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida das Nações Unidas - de 12997 a 17279 - lado ímpar, 15187",Freguesia do Ó,04795-100,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Senador Teotônio Vilela, 1324",Guaianases,04801-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Cupecê, 3036",Jardim Três Marias,04365-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida São Miguel, 4525",Vila Nina,03871-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Sapopemba, 3681",Jardim Aimore,03366-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Estrada de Itapecerica, 3880",Jardim Sonia Regina,05835-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Frei Aníbal de Gênova, 1413",Jardim das Oliveiras,05756-050,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Paranaguá, 1477",Jardim São Luís,03699-010,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Santa Marina, 2687",Limão,05036-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Professor João de Lima Paiva, 65",Paraisópolis,04190-030,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Ragueb Chohfi, 3248",Jardim São Gonçalo,08430-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Parapuã, 1407",Vila Perus,02831-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Marechal Tito, 4399",Vila Pirituba,08060-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Luís Baldinato, s/n",Centro Histórico de São Paulo,04894-080,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Doutor Almiro Leal da Costa, 370",Rio Pequeno,05784-060,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Maria Coelho Aguiar, 960",Santana,05804-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Professor Celestino Bourroul, 847",Cidade São Mateus,02710-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Ernest Renan, 1032",Vila Doutor Eiras,02325-020,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Estrada da Colônia, 245",Vila da Saúde,04786-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Doutor Sylvio de Campos, 25",Parada Inglesa,05577-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Benedito Andrade, 176",Jardim Vergueiro (Sacoma),05601-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Praça Ramos De Azevedo, 131",Vila Prudente,01037-010,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida do Rio Pequeno, 1158",Vila Ré,05379-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Voluntários da Pátria, 1943",Vila Medeiros,02011-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Mateo Bei, 3083",Vila Pirajussara,03252-200,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Marechal Tito, 844",Vila Pirajussara,08060-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Jabaquara, 452",Ipiranga,04310-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Domingos Calheiros, 38",Itaim Paulista,02325-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Padre Arlindo Vieira, 1273",Lapa,04160-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Praça Padre Damião, 93",Penha de França,05074-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Itinguçú, 1879",São Miguel Paulista,03658-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Goianésia, 11",Vila Formosa,03440-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Estrada do Campo Limpo, 3935",Vila Maria,05777-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Estrada do Campo Limpo, 4162",Vila Matilde,05777-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Silva Bueno, 2153",Vila dos Andrades,04208-050,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Marechal Tito, 3154",Itaim Bibi,08090-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Doze de Outubro, 215",Mooca,05057-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Praça Oito de Setembro, 58",Carandiru,04301-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Arlíndo Colaço, 404",Luz,05372-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Praça Doutor Sampaio Vidal, 49",Bela Vista,03127-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Guilherme Cotching, 1442",Vila Clementino,02113-010,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Waldemar Carlos Pereira, 1151",Jardim Umuarama,04250-040,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Itaberaba - de 1931, 5080",Jardim Maria Luiza,02734-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua João Cachoeira - de 851 a 1139 - lado ímpar, 899",Vila Regente Feijó,04535-004,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Javari, 403",Vila Guilherme,03308-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Zaki Narchi - de 1001, 1650",Vila Santa Eulália,02029-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Tiradentes, 615",Parque Residencial da Lapa,01102-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Doutor Plínio Barreto, 285",Jardim das Acacias,01313-020,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Pedro de Toledo - de 322 a 602 - lado par, 572",Butantã,04039-002,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Interlagos, 2255",Aclimação,04661-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rodovia Raposo Tavares, s / n",Higienópolis,05577-200,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Regente Feijó, 1425",Vila Andrade,03342-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Otto Baumgart, 500",Jardim Aeroporto,02049-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Doutor Ricardo Jafet, 1501",Ipiranga,04123-011,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Presidente Castelo Branco, 6061",Itaquera,01144-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Roque Petroni Júnior, 1089",Pinheiros,04707-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Carlos Lisdegno Carlucci, 519",Vila Mariana,04296-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Muniz de Sousa - de 695, 1119",Vila Guarani,01534-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Angélica - até 955 - lado ímpar, 1500",Tatuapé,01227-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Dona Helena Pereira de Moraes, 200",Cerqueira César,05652-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Alsácia, 507",Vila Maria,04821-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Nazaré - de 1353 ao fim - lado ímpar, s/n",Água Branca,04262-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Afonso de Sampaio e Sousa - até 698, 951",Paraíso,03341-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Henrique Chamma, 420",Santo Amaro,05468-020,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Pedro Álvares Cabral, 0",Itaquera,04094-050,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Volkswagen, s/n",Parque Colonial,04895-010,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Tuiuti - de 32, 515",Pinheiros,03081-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua Peixoto Gomide - até 1249 - lado ímpar, 949",Itaquera,01409-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Nadir Dias de Figueiredo, s/n",Parque São Lourenço,05126-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Embaixador Macedo Soares, 9175",,05132-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Rua do Paraíso, 387",,04103-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Engenheiro Eusébio Stevaux, 823",,04696-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Fernando do Espírito Santo Alves de Mattos, 1000",,04729-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Manuel Alves Soares, 1100",,04821-010,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Rebouças - de 2986 ao fim - lado par, 3970",,05402-600,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida José Pinheiro Borges, s/n",,03568-000,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"Avenida Ragueb Chohfi, 1956",,08430-001,Lixo eletrônico,07:00 -18:00,07:00 -14:00,Green Eletron
SP,São Paulo,,"SAO PAULO, AVENIDA ITABERABA 4615 LOJA BN",,,Instrumentos de escrita,,,
SP,São Paulo,,"SÃO PAULO, RUA MONT BANC, 98 LAUZANE PAULISTA",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Avenida Francisco Matarazzo, 1752 Sala 2215",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Rua Ribeiro de Barros, 128 Pompéia",,,Instrumentos de escrita,,,
SP,Caieiras,,"Caieiras, Waldemar Gomes Marino Nº 305",,,Instrumentos de escrita,,,
SP,Franco da Rocha,,"Franco da Rocha, Praça Ministro Nelson Hungria, 01 Centro",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Rua Natingui 862 conj 525",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Rua Visconde de Parnaíba, 3232 Brás",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Rua das Camélias, 571 Mirandópolis",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, RUA LINO COUTINHO 1940",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Rua Pedreira de Magalhães, 71 Artur Alvim",,,Instrumentos de escrita,,,
SP,São Paulo,,"São Paulo, Rua do contorno s/nº Itaquera",,,Instrumentos de escrita,,,
SP,Santo André,,"Santo André, Av da Saudade, 370",,,Instrumentos de escrita,,,
SP,São Bernardo do Campo,,"São Bernardo Do Campo, Rua Augusto Boralli, 160 Assunção",,,Instrumentos de escrita,,,
SP,Judiaí,,"jundia, r flavio santoro 41",,,Instrumentos de escrita,,,
SP,Nazaré Paulista,,"Nazaré Paulista, Rua Clementino de Almeida Passos Nº 35",,,Instrumentos de escrita,,,
SP,Cabreúva,,"Cabreúva, Av. São Paulo, 554 Jacaré",,,Instrumentos de escrita,,,
SP,Mogi das Cruzes,,"Mogi das Cruzes, R. Antenor Leite da Cunha, 55 Nova Mogilar",,,Instrumentos de escrita,,,
SP,Valinhos,,"Valinhos, rua Barao do Rio Branco 408 Vila Independência",,,Instrumentos de escrita,,,
SP,Santos,,"Santos, Av. Dr. Bernardino de Campos, 442 Campo Grande",,,Instrumentos de escrita,,,
SP,Santos,,"Santos, Rua Alberto baccarat s/n Boqueirão",,,Instrumentos de escrita,,,
SP,Santos,,"Santos, Rua Dr. Manoel Tourinho 397 Macuco",,,Instrumentos de escrita,,,
SP,Praia Grande,,"Praia Grande, Rua Gilberto Fouad Beck, 150 Vila Mirim",,,Instrumentos de escrita,,,
SP,Bertioga,,"Bertioga, Rua doutor Rodrigues Alves Casa",,,Instrumentos de escrita,,,
SP,Santa Branca,,"Santa Branca, Benedito Alves Pereira 64 casa",,,Instrumentos de escrita,,,
SP,Hortolândia,,"Hortolândia, Rua Ímola, 75 - Jd. Res. Firenze Fórum da Comarca de Hortolândia",,,Instrumentos de escrita,,,
SP,Hortolândia,,"Hortolândia, Av.Thereza Ana Cecon Breda, 1896 Vila São Pedro",Jardim Arpoador,,Instrumentos de escrita,,,
SP,Tietê,,"Tietê, Avenida Onze de Agosto, 130",Diadema,,Instrumentos de escrita,,,
SP,Limeira,,"LIMEIRA, Rua Alfredo Mesanelli 110",Diadema,,Instrumentos de escrita,,,
SP,Limeira,,"LIMEIRA, RUA ANTONIO JORGE LOUREIRO, 303 JD OURO VERDE",Macedo,,Instrumentos de escrita,,,
SP,Juquiá,,"Juquiá, Rua Major Martins Coelho, 439 Centro",Gopoúva,,Instrumentos de escrita,,,
SP,Itapetininga,,"Itapetininga, R. Dom Joaquim, 495 Centro",Vila Zeferina,,Instrumentos de escrita,,,
SP,Registro,,"Registro, AVENIDA DEPUTADO ULISSES GUIMARAES Nosso Teto",Jardim Gagliardi,,Instrumentos de escrita,,,
SP,Barra Velha,,"Barra Velha, Rua Marino Atanásio Pinheiro, 51 Jardim Icaraí",Centro,,Instrumentos de escrita,,,
SP,São Paulo,Exército da Salvação,"Rodovia Raposo Tavares KM 14, 153 ao km 18 201 - lado ímpar",Centro Cívico,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Diadema,Exército da Salvação,Rua Manoel da Nóbrega (Prq S Setembro) 712,Vila Jundiaí,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Diadema,Exército da Salvação,"Av. José Bonifácio, 543 543",Vila Yara,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Guarulhos,Exército da Salvação,Avenida Paulo Faccini 214,Parque Suzano,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Guarulhos,Exército da Salvação,Rua Guarulhos 2753,Nova Petrópolis,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Itaquaquecetuba,Exército da Salvação,Avenida Ítalo Adami 1809,Alves Dias,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Bernardo do Campo,Exército da Salvação,Rua Passagem da Servidão Toyota 1115,Vila Marlene,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Mauá,Exército da Salvação,"Rua Luís Mariani (Vl F N Morelli), 136",Centro,09390-050,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Mogi das Cruzes,Exército da Salvação,Avenida Vereador Narciso Yague Guimarães 1000,Santo Amaro,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Mogi das Cruzes,Exército da Salvação,Rua José Galdino de Castro 252,Cambuci,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Osasco,Exército da Salvação,Avenida dos Autonomistas 1542,Bosque da Saúde,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,Suzano,Exército da Salvação,Avenida Armando Salles de Oliveira 1200,Jardim Aricanduva,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Bernardo do Campo,Exército da Salvação,Avenida Pery Ronchetti 1800,Vila Gertrudes,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Bernardo do Campo,Exército da Salvação,"Avenida Humberto Alencar Castelo Branco, 3100",Rocha,24420-006,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Bernardo do Campo,Exército da Salvação,Avenida Kennedy 700,Jardim Cambara,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Caetano do Sul,Exército da Salvação,Rua Aquidaban S/N,Jardim Umuarama,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida Santo Amaro 4815,Vila Campanela,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Praça Alberto Lion 100,Tatuapé,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Rua Ribeiro Lacerda 940,Cidade Mãe do Céu,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida Rio das Pedras 555,Jardim Santa Cruz,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida das Nações Unidas 15187,Jardim Guairaca,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Rua Juá 264,Jardim Guairaca,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,"Rodovia Raposo Tavares, 7201 KM 17",Butantã,05577-000,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida Interlagos 2501,Vila Norma,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida José Pinheiro Borges s/n,Itaim Paulista,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Rua Gonçalves Crespo 78,Jardim Helena,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Rua Domingos Agostim 91,Tatuapé,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Rua São Canuto 510,Cidade Antônio Estevão de Carvalho,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida do Oratório 4500,Vila Beatriz,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida do Oratório 4500,Vila Zilda,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
SP,São Paulo,Exército da Salvação,Avenida Waldemar Tietz 538,Tatuapé,,"Roupas, brinquedos, calçados e outros pequenos objetos.",07:00 - 2200,09:-00 - 17:00,Exército da Salvação
